date,stock_id,open,high,low,close,spread,trading_volume,trading_money,trading_turnover,industry_category,stock_name,type,date_right,rolling_max_20,break_20_day_high,is_20_day_high,short_entry
2023-02-08T00:00:00.000000,2330,538.0,540.0,534.0,540.0,540.0,37633169,20247927642,43495,半導體業,台積電,twse,2025-04-14,543.0,0,0,0
2023-02-09T00:00:00.000000,2330,540.0,540.0,536.0,540.0,540.0,22311345,12026317167,19698,半導體業,台積電,twse,2025-04-14,543.0,0,0,0
2023-02-10T00:00:00.000000,2330,544.0,546.0,541.0,545.0,545.0,30445088,16545221176,40984,半導體業,台積電,twse,2025-04-14,545.0,1,1,0
2023-02-13T00:00:00.000000,2330,544.0,544.0,538.0,541.0,541.0,23903151,12921896752,22431,半導體業,台積電,twse,2025-04-14,545.0,0,0,1
2023-02-14T00:00:00.000000,2330,544.0,546.0,543.0,545.0,545.0,23855974,12990943260,27983,半導體業,台積電,twse,2025-04-14,545.0,0,1,0
2023-02-15T00:00:00.000000,2330,526.0,532.0,522.0,525.0,525.0,66068713,34751111404,103433,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-02-16T00:00:00.000000,2330,528.0,531.0,524.0,528.0,528.0,33509968,17692691883,27033,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-02-17T00:00:00.000000,2330,524.0,524.0,516.0,518.0,518.0,29673053,15385668299,55965,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-02-20T00:00:00.000000,2330,514.0,519.0,511.0,517.0,517.0,21181235,10928087780,25898,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-02-21T00:00:00.000000,2330,515.0,517.0,513.0,516.0,516.0,15097509,7771141142,27200,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-02-22T00:00:00.000000,2330,506.0,509.0,505.0,507.0,507.0,26578867,13474662693,47843,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-02-23T00:00:00.000000,2330,512.0,521.0,510.0,518.0,518.0,26801677,13846782345,26552,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-02-24T00:00:00.000000,2330,524.0,525.0,511.0,511.0,511.0,48372303,24932422713,29612,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-03-01T00:00:00.000000,2330,504.0,522.0,504.0,522.0,522.0,45971058,23624972884,31738,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-03-02T00:00:00.000000,2330,519.0,520.0,515.0,519.0,519.0,18017085,9344352321,14320,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-03-03T00:00:00.000000,2330,524.0,525.0,516.0,516.0,516.0,24117189,12510608773,22160,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
2023-03-06T00:00:00.000000,2330,520.0,524.0,517.0,521.0,521.0,24741125,12883854256,20678,半導體業,台積電,twse,2025-04-14,545.0,0,0,0
